Age_Group,Gender,City_Tier,Occupation,Platform,Gamer_Identity,Mechanical_Keyboard,Setup_Value,Preferred_Aesthetic,Keycap_Material,Color_Theme,Aesthetic_Importance,Interested_Keycaps,Interested_Cables,Interested_DeskMat,Interested_RGB,Discount_Preference,Expected_Spending,Purchase_Interest
31-40,Female,Tier 2,Working Professional,Mobile,3,Yes,20k-50k,Anime,ABS,RGB,4,1,1,0,0,10-20%,4309.0,Neutral
40+,Male,Tier 2,Working Professional,PC,3,Yes,20k-50k,Minimal,PBT,Anime,1,1,1,0,0,Bundle,2575.0,Unlikely
16-20,Male,Tier 1,Content Creator,PC,4,Yes,<20k,Anime,ABS,Custom,4,0,1,0,1,Free Accessory,2852.0,Neutral
31-40,Male,Tier 2,Working Professional,PC,3,No,<20k,Minimal,Metal,Anime,4,1,1,1,1,Bundle,4728.0,Neutral
21-25,Male,Tier 1,Student,Multiple,4,No,<20k,Anime,Not Sure,White,3,1,0,1,0,Bundle,3726.0,Neutral
40+,Female,Tier 2,Freelancer,Console,5,No,20k-50k,Gaming,ABS,White,3,1,1,0,0,Free Accessory,4106.0,Neutral
31-40,Male,Tier 1,Working Professional,Console,3,No,<20k,Gaming,Not Sure,RGB,1,1,0,0,1,Bundle,2693.0,Unlikely
16-20,Male,Tier 2,Working Professional,Console,5,No,50k-1L,Anime,Not Sure,White,4,0,1,0,0,Bundle,4914.0,Neutral
16-20,Male,Tier 1,Content Creator,PC,3,No,<20k,Minimal,Metal,Anime,3,1,1,1,1,Bundle,3653.0,Unlikely
26-30,Male,Tier 1,Content Creator,Mobile,3,No,1L-2L,RGB,PBT,RGB,5,0,0,1,0,10-20%,3834.0,Unlikely
26-30,Male,Tier 1,Working Professional,Console,5,No,<20k,Anime,PBT,Anime,5,1,0,1,1,Free Accessory,5124.0,Likely
21-25,Male,Tier 1,Student,PC,1,No,<20k,Professional,Not Sure,Anime,5,1,1,0,1,Free Accessory,2201.0,Neutral
31-40,Male,Tier 3,Student,PC,1,No,<20k,RGB,ABS,RGB,5,0,1,0,0,Free Accessory,3002.0,Unlikely
31-40,Female,Tier 1,Freelancer,Console,1,No,<20k,Professional,Not Sure,Custom,4,0,0,0,0,Bundle,2808.0,Very unlikely
26-30,Male,Tier 3,Working Professional,Multiple,1,No,1L-2L,Anime,PBT,White,5,1,1,1,1,10-20%,3147.0,Neutral
31-40,Male,Rural,Content Creator,PC,3,No,2L+,Minimal,ABS,Dark,4,1,0,0,0,Free Accessory,3318.0,Neutral
31-40,Female,Tier 2,Student,Mobile,2,Yes,<20k,Professional,PBT,Dark,1,1,0,0,0,20-30%,1802.0,Very unlikely
16-20,Male,Tier 1,Freelancer,Mobile,5,Yes,50k-1L,Anime,Metal,Dark,1,1,0,1,1,Free Accessory,4185.0,Unlikely
26-30,Male,Tier 1,Working Professional,PC,2,No,1L-2L,RGB,PBT,White,5,1,1,1,0,5-10%,3113.0,Neutral
40+,Male,Tier 3,Student,PC,2,Yes,2L+,Minimal,ABS,Custom,5,1,0,0,0,20-30%,3018.0,Neutral
26-30,Male,Tier 1,Working Professional,PC,4,No,<20k,Professional,ABS,Anime,5,0,0,1,1,Free Accessory,4178.0,Neutral
40+,Male,Tier 1,Working Professional,Mobile,1,Yes,2L+,Anime,Not Sure,RGB,1,1,1,0,1,Bundle,1248.0,Very unlikely
16-20,Prefer not to say,Tier 2,Student,PC,3,No,50k-1L,Minimal,ABS,Custom,3,1,0,1,1,Free Accessory,2920.0,Unlikely
21-25,Male,Tier 3,Student,PC,1,Yes,1L-2L,Minimal,Metal,Dark,1,1,1,1,0,10-20%,416.0,Very unlikely
31-40,Male,Tier 3,Student,Console,1,No,1L-2L,Gaming,PBT,White,5,0,1,1,1,10-20%,3492.0,Unlikely
16-20,Female,Tier 1,Working Professional,Mobile,2,No,2L+,Minimal,Not Sure,White,3,0,0,1,0,Free Accessory,2863.0,Very unlikely
31-40,Male,Tier 2,Working Professional,PC,4,Yes,<20k,Anime,Not Sure,RGB,3,0,1,1,0,Bundle,3589.0,Unlikely
21-25,Male,Tier 1,Freelancer,PC,1,No,20k-50k,RGB,ABS,Anime,2,1,1,1,0,Bundle,1861.0,Very unlikely
21-25,Male,Tier 1,Content Creator,Console,5,Yes,1L-2L,Gaming,Metal,Custom,4,0,1,0,0,Bundle,2862.0,Neutral
16-20,Prefer not to say,Tier 3,Working Professional,Console,5,No,20k-50k,Anime,Not Sure,Custom,5,1,0,0,1,Free Accessory,3864.0,Likely
21-25,Male,Tier 1,Content Creator,Mobile,1,No,1L-2L,Anime,Metal,Custom,4,1,0,0,0,Free Accessory,3360.0,Unlikely
40+,Male,Tier 1,Student,PC,2,Yes,<20k,Anime,Metal,Anime,2,1,0,1,0,5-10%,3421.0,Unlikely
21-25,Male,Tier 1,Working Professional,Mobile,2,No,<20k,Professional,PBT,Anime,4,1,1,1,0,10-20%,3369.0,Unlikely
31-40,Male,Tier 3,Freelancer,Mobile,3,No,1L-2L,Professional,PBT,Anime,5,1,0,0,1,20-30%,3636.0,Neutral
31-40,Male,Tier 3,Freelancer,Console,4,No,2L+,RGB,PBT,RGB,2,1,0,0,1,20-30%,3978.0,Unlikely
31-40,Male,Tier 2,Content Creator,Mobile,2,No,<20k,Anime,Metal,White,4,1,1,0,1,10-20%,2843.0,Unlikely
31-40,Female,Tier 3,Student,PC,3,Yes,<20k,Professional,PBT,Dark,1,0,0,1,0,5-10%,3023.0,Very unlikely
40+,Male,Tier 1,Content Creator,PC,5,No,50k-1L,Professional,Not Sure,Anime,3,0,1,0,0,10-20%,3620.0,Neutral
26-30,Male,Tier 2,Student,Mobile,5,Yes,<20k,Professional,Not Sure,White,2,0,0,0,1,5-10%,3717.0,Unlikely
16-20,Female,Tier 1,Freelancer,Console,5,Yes,50k-1L,RGB,ABS,Anime,1,1,1,0,1,5-10%,3288.0,Neutral
31-40,Female,Tier 1,Content Creator,Mobile,1,Yes,<20k,RGB,Metal,Dark,5,0,1,0,0,Bundle,2858.0,Unlikely
21-25,Male,Tier 2,Freelancer,PC,4,Yes,<20k,Anime,PBT,Anime,3,1,1,1,1,10-20%,3940.0,Neutral
31-40,Male,Tier 3,Freelancer,Multiple,3,No,2L+,Gaming,Not Sure,White,2,0,1,0,0,20-30%,2620.0,Unlikely
21-25,Male,Tier 1,Student,Console,4,No,2L+,Anime,Metal,RGB,3,0,0,0,1,Free Accessory,3061.0,Unlikely
21-25,Prefer not to say,Tier 1,Content Creator,PC,1,No,<20k,Professional,Metal,Dark,2,1,1,1,0,Free Accessory,2561.0,Very unlikely
31-40,Female,Tier 1,Content Creator,PC,3,Yes,1L-2L,Professional,PBT,White,2,0,1,1,0,10-20%,3066.0,Unlikely
40+,Male,Tier 1,Freelancer,Mobile,3,No,1L-2L,Minimal,Metal,Custom,4,1,1,1,0,Free Accessory,4063.0,Neutral
21-25,Female,Tier 3,Freelancer,Mobile,2,No,<20k,Anime,PBT,Custom,3,0,1,1,1,5-10%,3165.0,Unlikely
21-25,Male,Tier 2,Student,Console,4,Yes,1L-2L,Professional,PBT,Custom,3,0,1,1,1,Free Accessory,3170.0,Unlikely
31-40,Male,Tier 2,Working Professional,Mobile,4,No,<20k,Professional,PBT,RGB,1,0,1,0,0,5-10%,3713.0,Unlikely
21-25,Male,Tier 3,Working Professional,PC,2,No,2L+,Gaming,Metal,Anime,5,1,0,0,1,5-10%,3932.0,Neutral
21-25,Female,Tier 1,Freelancer,PC,5,No,20k-50k,Minimal,Metal,Anime,1,1,1,0,0,20-30%,3590.0,Neutral
31-40,Male,Tier 2,Working Professional,Mobile,1,No,50k-1L,Anime,PBT,Anime,4,0,0,1,1,Free Accessory,2315.0,Very unlikely
31-40,Female,Tier 2,Working Professional,Mobile,4,No,1L-2L,RGB,Metal,RGB,2,0,1,0,1,20-30%,3388.0,Unlikely
16-20,Female,Tier 2,Working Professional,Mobile,2,No,1L-2L,Anime,PBT,Custom,4,1,1,1,0,Free Accessory,4675.0,Unlikely
40+,Female,Rural,Working Professional,Mobile,3,Yes,2L+,Anime,ABS,Anime,4,0,0,1,1,5-10%,3522.0,Unlikely
40+,Male,Tier 3,Freelancer,PC,2,No,1L-2L,Gaming,Metal,RGB,1,0,1,0,1,Free Accessory,2941.0,Very unlikely
21-25,Male,Tier 1,Working Professional,Mobile,5,Yes,<20k,Anime,Metal,RGB,2,1,1,1,0,20-30%,3783.0,Neutral
40+,Male,Tier 3,Working Professional,PC,1,No,<20k,Gaming,ABS,White,5,0,0,0,0,Bundle,3532.0,Unlikely
21-25,Male,Tier 1,Student,PC,5,No,20k-50k,Gaming,ABS,Anime,4,0,0,1,0,20-30%,4453.0,Neutral
16-20,Male,Tier 1,Freelancer,PC,3,No,20k-50k,Professional,ABS,Custom,5,1,0,0,0,Bundle,4091.0,Neutral
31-40,Female,Tier 1,Content Creator,PC,3,No,20k-50k,RGB,PBT,Dark,2,1,0,1,1,10-20%,3624.0,Unlikely
31-40,Male,Tier 1,Content Creator,PC,3,No,<20k,Gaming,PBT,RGB,2,1,1,1,1,20-30%,3242.0,Unlikely
31-40,Male,Tier 2,Student,PC,3,No,20k-50k,Minimal,Not Sure,White,1,1,0,1,0,Free Accessory,2714.0,Unlikely
40+,Male,Tier 2,Student,PC,2,No,20k-50k,Minimal,ABS,Dark,3,0,0,0,1,Bundle,3704.0,Very unlikely
16-20,Male,Tier 3,Freelancer,PC,3,No,<20k,RGB,Not Sure,RGB,1,1,0,1,0,Free Accessory,2196.0,Unlikely
40+,Male,Tier 2,Content Creator,Console,3,No,2L+,Gaming,PBT,White,5,1,1,0,0,Bundle,3467.0,Neutral
40+,Male,Tier 2,Working Professional,PC,2,Yes,1L-2L,RGB,Metal,Anime,1,0,0,1,0,20-30%,2604.0,Very unlikely
16-20,Female,Tier 1,Student,PC,3,No,50k-1L,Professional,ABS,White,2,1,1,0,1,20-30%,2978.0,Unlikely
16-20,Male,Tier 1,Content Creator,Mobile,5,No,<20k,Minimal,Metal,RGB,4,1,1,1,1,Free Accessory,4610.0,Neutral
16-20,Prefer not to say,Tier 2,Freelancer,Mobile,5,Yes,<20k,Anime,PBT,Anime,3,0,1,0,1,20-30%,3637.0,Neutral
16-20,Female,Tier 2,Working Professional,Mobile,4,No,50k-1L,Minimal,ABS,Custom,2,1,1,1,0,Free Accessory,2995.0,Unlikely
31-40,Male,Tier 3,Freelancer,PC,5,No,50k-1L,Gaming,Not Sure,White,4,1,0,1,0,5-10%,3057.0,Neutral
26-30,Female,Tier 1,Student,Mobile,1,No,20k-50k,RGB,Not Sure,Dark,5,0,0,1,1,Bundle,3934.0,Unlikely
26-30,Male,Tier 1,Content Creator,PC,1,No,50k-1L,Minimal,PBT,Anime,5,1,1,0,1,Free Accessory,2895.0,Neutral
16-20,Female,Tier 2,Content Creator,PC,1,No,1L-2L,Anime,Metal,Anime,5,1,0,1,1,Bundle,3628.0,Unlikely
26-30,Male,Tier 1,Content Creator,PC,2,No,1L-2L,Anime,PBT,Custom,1,0,0,1,1,5-10%,2661.0,Very unlikely
26-30,Female,Tier 1,Content Creator,Mobile,5,No,1L-2L,RGB,Metal,White,5,0,0,1,0,Bundle,5193.0,Neutral
16-20,Female,Tier 2,Working Professional,PC,1,Yes,1L-2L,RGB,PBT,Dark,5,1,0,0,1,Free Accessory,2330.0,Unlikely
26-30,Female,Tier 1,Working Professional,PC,4,Yes,1L-2L,Minimal,Not Sure,Custom,1,1,1,1,1,20-30%,3057.0,Unlikely
40+,Female,Tier 2,Freelancer,PC,2,No,20k-50k,Gaming,Metal,White,4,1,0,0,0,Bundle,3218.0,Unlikely
21-25,Male,Tier 1,Working Professional,Mobile,4,No,<20k,Professional,PBT,Dark,2,0,0,0,1,Bundle,3463.0,Unlikely
21-25,Male,Tier 1,Student,Mobile,5,Yes,50k-1L,Anime,ABS,Dark,3,1,1,1,1,5-10%,3519.0,Neutral
16-20,Male,Tier 1,Student,PC,3,No,<20k,RGB,Not Sure,RGB,5,1,0,1,1,10-20%,2311.0,Neutral
31-40,Male,Tier 3,Content Creator,Console,4,Yes,50k-1L,Professional,Not Sure,Dark,5,0,0,0,0,20-30%,3182.0,Neutral
16-20,Male,Tier 1,Student,Console,3,No,20k-50k,Professional,ABS,White,5,1,0,0,0,Free Accessory,4636.0,Neutral
31-40,Male,Tier 3,Freelancer,Mobile,2,Yes,20k-50k,Professional,PBT,Custom,1,1,1,1,1,5-10%,3389.0,Very unlikely
21-25,Prefer not to say,Tier 1,Working Professional,PC,4,Yes,2L+,Gaming,Metal,Custom,1,1,0,0,0,Free Accessory,3701.0,Unlikely
16-20,Male,Tier 3,Working Professional,Mobile,4,Yes,2L+,RGB,Not Sure,RGB,1,0,0,0,1,Free Accessory,2893.0,Very unlikely
40+,Female,Tier 1,Working Professional,PC,2,No,20k-50k,Anime,PBT,White,3,0,1,1,1,Bundle,2901.0,Unlikely
26-30,Male,Tier 2,Student,Mobile,2,No,20k-50k,RGB,ABS,Dark,2,1,0,1,0,5-10%,1820.0,Unlikely
31-40,Female,Tier 2,Working Professional,PC,1,Yes,50k-1L,Minimal,Metal,RGB,5,1,1,0,1,5-10%,3482.0,Neutral
26-30,Female,Tier 3,Content Creator,PC,5,No,20k-50k,Anime,PBT,Anime,4,0,1,0,0,20-30%,4917.0,Neutral
26-30,Male,Tier 1,Content Creator,PC,4,Yes,<20k,RGB,PBT,White,5,1,1,1,0,10-20%,4224.0,Neutral
16-20,Male,Tier 1,Content Creator,Console,4,No,50k-1L,Anime,Not Sure,RGB,5,0,0,0,0,Free Accessory,3657.0,Neutral
26-30,Female,Tier 1,Student,PC,2,No,20k-50k,Minimal,Not Sure,Custom,5,0,0,0,1,20-30%,3038.0,Unlikely
40+,Male,Tier 3,Working Professional,Mobile,2,No,50k-1L,Anime,Metal,RGB,5,0,0,1,1,20-30%,2572.0,Unlikely
26-30,Male,Tier 2,Student,PC,5,No,50k-1L,Professional,PBT,Anime,2,0,0,0,1,Free Accessory,4973.0,Unlikely
16-20,Male,Tier 3,Working Professional,Mobile,2,Yes,1L-2L,Gaming,ABS,White,4,0,0,0,1,Bundle,2564.0,Unlikely
40+,Male,Tier 1,Freelancer,Mobile,3,No,2L+,Minimal,ABS,RGB,1,1,1,0,0,Bundle,3174.0,Unlikely
21-25,Male,Tier 1,Freelancer,Console,3,No,50k-1L,Anime,Metal,Dark,4,0,1,0,1,Free Accessory,4306.0,Unlikely
26-30,Male,Tier 1,Student,Mobile,3,No,50k-1L,Minimal,PBT,White,5,1,1,1,1,5-10%,3673.0,Neutral
16-20,Male,Rural,Content Creator,Mobile,3,Yes,1L-2L,Professional,Not Sure,RGB,4,1,1,0,0,10-20%,4012.0,Neutral
21-25,Male,Tier 2,Student,PC,5,No,20k-50k,Gaming,PBT,RGB,5,1,0,0,0,Bundle,4613.0,Likely
21-25,Prefer not to say,Tier 3,Content Creator,Mobile,4,No,50k-1L,Minimal,Not Sure,White,4,0,1,1,1,10-20%,4678.0,Neutral
31-40,Male,Tier 1,Working Professional,PC,3,No,1L-2L,Professional,ABS,Custom,3,1,1,0,0,20-30%,2391.0,Unlikely
40+,Prefer not to say,Tier 2,Content Creator,Console,2,Yes,<20k,Professional,Metal,Dark,4,1,0,0,1,20-30%,2861.0,Unlikely
26-30,Male,Tier 2,Content Creator,Mobile,3,No,1L-2L,Professional,Metal,White,1,1,1,1,1,Free Accessory,3107.0,Unlikely
16-20,Male,Tier 1,Working Professional,PC,5,Yes,2L+,Anime,Metal,Dark,1,0,0,0,0,Free Accessory,2447.0,Unlikely
31-40,Male,Tier 3,Freelancer,PC,2,No,2L+,RGB,Not Sure,Dark,4,1,0,0,0,Free Accessory,2523.0,Unlikely
40+,Male,Tier 3,Working Professional,Console,3,Yes,20k-50k,Minimal,ABS,White,4,0,0,0,1,Bundle,2673.0,Unlikely
31-40,Male,Tier 3,Student,Mobile,4,No,20k-50k,RGB,ABS,RGB,2,0,1,0,1,10-20%,4424.0,Unlikely
40+,Male,Tier 2,Student,Multiple,2,No,2L+,Professional,Metal,Custom,4,1,1,0,1,20-30%,2548.0,Unlikely
40+,Male,Tier 1,Student,Console,2,Yes,2L+,RGB,Metal,Dark,1,1,1,0,1,10-20%,2387.0,Very unlikely
26-30,Male,Tier 1,Student,Mobile,4,Yes,50k-1L,Professional,Not Sure,Dark,3,0,1,0,1,Bundle,4161.0,Unlikely
40+,Male,Rural,Student,Multiple,2,Yes,2L+,Professional,Not Sure,RGB,1,0,1,1,0,10-20%,1303.0,Very unlikely
31-40,Male,Tier 1,Freelancer,PC,3,No,20k-50k,Gaming,PBT,White,2,1,1,1,1,10-20%,2440.0,Unlikely
40+,Male,Tier 2,Freelancer,PC,2,No,2L+,Gaming,Not Sure,Custom,4,1,0,1,0,Free Accessory,2996.0,Unlikely
26-30,Female,Tier 2,Content Creator,Mobile,3,No,20k-50k,RGB,PBT,Dark,3,1,0,0,0,10-20%,2977.0,Unlikely
26-30,Male,Tier 2,Student,Mobile,4,Yes,<20k,Minimal,Metal,Dark,1,1,1,1,0,10-20%,2540.0,Unlikely
31-40,Male,Rural,Working Professional,Mobile,1,No,2L+,RGB,ABS,White,3,1,1,1,1,10-20%,2998.0,Unlikely
21-25,Prefer not to say,Tier 1,Student,PC,4,No,20k-50k,Minimal,Not Sure,RGB,5,0,0,1,1,5-10%,4009.0,Neutral
21-25,Male,Tier 1,Freelancer,PC,3,No,1L-2L,RGB,ABS,Anime,1,0,0,1,0,20-30%,3144.0,Very unlikely
40+,Male,Tier 1,Student,PC,5,No,50k-1L,Anime,Not Sure,RGB,5,0,0,0,0,20-30%,4672.0,Neutral
16-20,Prefer not to say,Tier 2,Freelancer,PC,4,No,20k-50k,Anime,Not Sure,Dark,3,0,1,0,0,10-20%,4208.0,Unlikely
40+,Male,Tier 1,Content Creator,PC,5,No,2L+,Minimal,PBT,Dark,4,0,1,0,0,Free Accessory,3377.0,Neutral
31-40,Male,Tier 1,Content Creator,Mobile,5,No,2L+,Gaming,Not Sure,Custom,4,1,1,1,0,Free Accessory,4344.0,Neutral
31-40,Male,Tier 3,Content Creator,PC,3,Yes,<20k,Minimal,Metal,RGB,4,0,0,0,1,Free Accessory,3494.0,Unlikely
31-40,Male,Tier 3,Freelancer,Mobile,3,Yes,1L-2L,RGB,ABS,Anime,5,1,1,1,0,20-30%,3069.0,Neutral
31-40,Male,Tier 1,Student,PC,1,No,20k-50k,Professional,Not Sure,Custom,4,0,1,0,1,Bundle,3246.0,Unlikely
31-40,Male,Tier 1,Student,Console,2,No,1L-2L,Anime,ABS,Anime,2,0,1,0,0,10-20%,2228.0,Very unlikely
26-30,Male,Tier 3,Working Professional,PC,4,Yes,<20k,Professional,ABS,Custom,1,1,1,1,0,20-30%,2729.0,Unlikely
21-25,Male,Tier 1,Freelancer,PC,3,Yes,50k-1L,Anime,ABS,RGB,1,0,1,1,1,Free Accessory,3114.0,Very unlikely
31-40,Prefer not to say,Tier 1,Working Professional,PC,4,No,1L-2L,RGB,Not Sure,Dark,3,0,1,0,1,20-30%,3306.0,Unlikely
16-20,Female,Tier 1,Content Creator,Multiple,5,No,<20k,Anime,PBT,Anime,5,0,0,0,0,20-30%,4743.0,Neutral
16-20,Male,Tier 2,Student,Mobile,2,Yes,20k-50k,Minimal,ABS,RGB,1,0,1,0,1,20-30%,2022.0,Very unlikely
16-20,Male,Tier 1,Freelancer,Console,1,No,50k-1L,Professional,ABS,Anime,5,1,0,1,1,Free Accessory,2978.0,Unlikely
16-20,Male,Rural,Working Professional,PC,4,No,2L+,Professional,Not Sure,RGB,3,0,0,1,0,Bundle,3873.0,Unlikely
26-30,Male,Tier 2,Working Professional,Multiple,2,No,<20k,RGB,Not Sure,Custom,4,0,0,1,0,5-10%,3573.0,Unlikely
16-20,Male,Tier 2,Working Professional,PC,1,Yes,2L+,Professional,Metal,RGB,3,0,1,1,0,10-20%,1570.0,Very unlikely
31-40,Male,Tier 1,Student,PC,4,No,50k-1L,RGB,Metal,Custom,2,0,1,0,1,10-20%,3428.0,Unlikely
40+,Female,Tier 2,Student,Console,2,No,<20k,Gaming,PBT,Dark,4,0,1,1,0,20-30%,3584.0,Unlikely
16-20,Male,Tier 2,Student,Multiple,3,Yes,<20k,Minimal,PBT,Custom,4,0,1,1,0,Bundle,4056.0,Unlikely
26-30,Male,Tier 3,Freelancer,PC,4,No,50k-1L,Anime,PBT,White,4,0,0,1,1,Free Accessory,3930.0,Unlikely
26-30,Male,Tier 3,Student,PC,2,No,20k-50k,Anime,PBT,Dark,3,0,1,0,0,5-10%,3265.0,Unlikely
16-20,Male,Tier 2,Freelancer,Multiple,1,Yes,<20k,Anime,ABS,RGB,2,1,0,0,1,5-10%,2130.0,Very unlikely
40+,Female,Tier 3,Working Professional,PC,2,No,50k-1L,Gaming,Not Sure,RGB,5,1,1,1,1,20-30%,3364.0,Neutral
16-20,Female,Tier 3,Working Professional,PC,3,Yes,1L-2L,Minimal,Metal,White,3,1,1,1,0,20-30%,3196.0,Unlikely
26-30,Female,Tier 3,Content Creator,Console,4,Yes,2L+,Professional,ABS,RGB,1,0,0,0,1,Free Accessory,2128.0,Very unlikely
21-25,Male,Tier 1,Student,Mobile,4,No,<20k,Professional,Not Sure,Dark,1,0,0,0,1,Free Accessory,3858.0,Very unlikely
31-40,Male,Tier 1,Working Professional,Console,4,Yes,1L-2L,Minimal,Not Sure,Dark,3,1,0,1,0,Free Accessory,4506.0,Neutral
26-30,Male,Tier 1,Student,Multiple,3,No,<20k,Minimal,ABS,Custom,5,1,1,0,1,20-30%,2729.0,Neutral
16-20,Male,Tier 2,Freelancer,Mobile,1,No,20k-50k,Anime,ABS,Anime,1,1,0,1,0,Bundle,1333.0,Very unlikely
31-40,Male,Tier 2,Working Professional,PC,4,Yes,50k-1L,Professional,Metal,RGB,5,1,0,0,0,20-30%,3690.0,Neutral
16-20,Female,Tier 2,Student,Multiple,1,Yes,<20k,Minimal,PBT,White,4,0,0,1,0,20-30%,2812.0,Very unlikely
16-20,Male,Tier 3,Working Professional,PC,2,No,50k-1L,Professional,PBT,Dark,3,1,1,1,0,5-10%,3325.0,Unlikely
21-25,Male,Tier 3,Working Professional,PC,1,No,<20k,Minimal,Metal,Dark,4,0,0,1,0,Free Accessory,2642.0,Very unlikely
31-40,Male,Tier 3,Student,Console,1,Yes,20k-50k,RGB,Metal,Dark,1,1,0,1,1,10-20%,1701.0,Very unlikely
31-40,Male,Tier 1,Working Professional,PC,4,Yes,20k-50k,Anime,PBT,Anime,5,0,1,0,1,Free Accessory,3180.0,Neutral
21-25,Male,Tier 2,Working Professional,PC,5,No,1L-2L,Minimal,ABS,Anime,4,0,0,0,1,Bundle,5199.0,Neutral
26-30,Prefer not to say,Tier 1,Working Professional,PC,5,Yes,20k-50k,Gaming,PBT,RGB,1,0,0,1,0,Bundle,4389.0,Unlikely
16-20,Female,Tier 1,Working Professional,PC,3,No,50k-1L,Minimal,Not Sure,White,2,0,0,0,0,Free Accessory,4116.0,Very unlikely
40+,Prefer not to say,Tier 1,Freelancer,Mobile,3,No,20k-50k,RGB,Not Sure,Anime,4,1,1,1,0,Free Accessory,3221.0,Neutral
16-20,Male,Tier 1,Working Professional,Console,5,No,<20k,Gaming,Metal,Custom,2,0,0,0,0,20-30%,4810.0,Unlikely
16-20,Male,Tier 2,Content Creator,Multiple,2,Yes,20k-50k,Gaming,PBT,Anime,2,0,0,1,1,10-20%,2313.0,Very unlikely
26-30,Male,Tier 3,Working Professional,PC,4,Yes,50k-1L,Minimal,PBT,Dark,1,1,0,0,1,20-30%,3451.0,Unlikely
16-20,Male,Tier 1,Student,PC,4,No,<20k,RGB,Not Sure,White,3,1,0,0,0,5-10%,2484.0,Neutral
21-25,Female,Tier 2,Content Creator,PC,2,Yes,1L-2L,Gaming,PBT,RGB,5,1,0,0,0,5-10%,2724.0,Neutral
21-25,Male,Tier 2,Freelancer,PC,2,Yes,1L-2L,Anime,Metal,Anime,1,1,0,0,0,Bundle,3437.0,Very unlikely
31-40,Male,Tier 1,Content Creator,PC,5,No,1L-2L,Anime,Metal,Dark,4,0,0,1,1,Bundle,4487.0,Neutral
40+,Male,Tier 2,Content Creator,Mobile,3,Yes,<20k,Professional,Not Sure,Custom,5,1,1,1,1,10-20%,3380.0,Neutral
16-20,Male,Tier 1,Content Creator,Multiple,2,No,1L-2L,Professional,PBT,Custom,3,0,1,0,0,Bundle,2160.0,Unlikely
16-20,Female,Tier 2,Student,Multiple,3,No,20k-50k,RGB,PBT,RGB,1,1,1,0,0,5-10%,3095.0,Unlikely
26-30,Male,Tier 2,Student,PC,1,No,<20k,Gaming,Not Sure,RGB,3,0,0,0,1,10-20%,2302.0,Very unlikely
21-25,Male,Tier 1,Student,Mobile,4,No,<20k,Anime,ABS,Anime,4,1,1,0,1,5-10%,4246.0,Neutral
40+,Male,Tier 1,Freelancer,PC,5,No,<20k,Anime,ABS,RGB,1,1,0,1,0,Free Accessory,3837.0,Unlikely
31-40,Male,Tier 2,Student,PC,4,Yes,2L+,RGB,PBT,Dark,4,1,0,0,0,Free Accessory,3448.0,Neutral
